season,station_i,station_j,distance_km,n_pair_days,chi_0_95,f_madogram,theta_fmadogram
W,6319,6320,79.06944119511623,3067,0.6005403037383177,0.047032186410677794,1.2076623768827819
W,6319,6330,87.09917208591654,3067,0.5662642045454546,0.04588261516795215,1.2020738104308493
W,6319,6343,80.48490377694068,3066,0.6178435114503817,0.04471487867797886,1.1964258289317222
W,6319,6344,91.28707327434243,3067,0.6610365316901409,0.04095332842291763,1.1784277327715722
W,6319,6348,110.73048674220284,3063,0.6245281040268457,0.043229928649052875,1.189285294113932
W,6319,6350,83.58286857197665,3067,0.7103794642857143,0.042921326929308085,1.1878071739421097
W,6319,6356,113.32621476187492,3065,0.6296875,0.04625919276666401,1.2039013993417402
W,6319,6370,108.22814100627969,3067,0.6692618534482759,0.042665863376634416,1.186585080622449
W,6319,6375,136.70868547040317,3066,0.6495757450331126,0.04665119182677103,1.2058070562256564
W,6319,6380,137.48819982592005,3067,0.689105308219178,0.046648649060298315,1.2057946842492275
W,6319,6391,164.92237791018735,3067,0.6217830882352942,0.053820394478385235,1.241249908388195
W,6320,6330,31.79164713431661,3069,0.7005947323704333,0.032448806587387906,1.138803224308111
W,6320,6343,44.23486723951322,3068,0.6463693539165237,0.04097600671657492,1.1785353590058385
W,6320,6344,53.39303727443628,3069,0.6290438533429188,0.04268895766324149,1.1866955035466027
W,6320,6348,86.2051133193942,3065,0.552429906542056,0.045821539783315886,1.2017776878342266
W,6320,6350,95.90505203530941,3069,0.5917677470670113,0.051553191464362116,1.229918868784926
W,6320,6356,101.52101035177863,3067,0.609929906542056,0.04947705973910842,1.2196427987016907
W,6320,6370,129.0218978755549,3069,0.5766032871414759,0.05254281615413156,1.2348506987977226
W,6320,6375,143.18697981764183,3068,0.5588908832085164,0.054799939933359354,1.2461811884084497
W,6320,6380,184.16668918549954,3069,0.5344386122135449,0.06067799065231134,1.2762346951039711
W,6320,6391,180.44186946543144,3069,0.5594076415612974,0.05995770969211848,1.2725088520476895
W,6330,6343,17.109402673317863,3068,0.6333333333333333,0.04034430138684481,1.175541395477394
W,6330,6344,22.53140606251173,3069,0.6192307692307693,0.03849935560341944,1.1668442116858058
W,6330,6348,55.12543904430616,3065,0.5515151515151515,0.041663285854793036,1.1818020881547517
W,6330,6350,73.3335710498946,3069,0.5825918762088975,0.050538710243071355,1.224885708268238
W,6330,6356,71.73961868077272,3067,0.5924242424242424,0.04502756533086095,1.1979353556379981
W,6330,6370,105.35569371338306,3069,0.5835423197492163,0.05158207935131199,1.2300625241591263
W,6330,6375,115.0313663789763,3068,0.5578266104756171,0.0532876725481718,1.2385771301729664
W,6330,6380,165.81305885885286,3069,0.5021170610211706,0.06004863093132262,1.2729784933204693
W,6330,6391,153.00895534379436,3069,0.567312834224599,0.0583752103003711,1.2643656409780573
W,6343,6344,11.970381205993075,3068,0.7284382284382285,0.03240895053037311,1.1386209191434844
W,6343,6348,42.92006278462332,3064,0.6978787878787879,0.03441128877232647,1.1478183982665306
W,6343,6350,56.224236534561534,3068,0.6255411255411255,0.044094918035103056,1.1934390283392287
W,6343,6356,57.296802702655434,3066,0.6471543162719633,0.035274880437094744,1.1518096567290028
W,6343,6370,88.34775672622617,3068,0.615073145245559,0.04306089814297321,1.1884754356454557
W,6343,6375,99.36755813440578,3067,0.5963275135460566,0.04335589229581876,1.1898892006459663
W,6343,6380,148.80867049220907,3068,0.5481527604815276,0.054475637303524733,1.2445461656633923
W,6343,6391,137.03949351670772,3068,0.5672905525846703,0.05101099221059525,1.227226018123462
