i,j,station_i,station_j,name_i,name_j,dist_km
3,7,06260,06273,DE BILT AWS,MARKNESSE AWS,82.47178048205572
28,32,06356,06391,HERWIJNEN AWS,ARCEN AWS,82.80736487034653
7,16,06273,06290,MARKNESSE AWS,TWENTHE AWS,82.9954430027255
21,27,06319,06350,WESTDORPE AWS,GILZE RIJEN,83.58286857197673
30,31,06375,06380,VOLKEL,MAASTRICHT AACHEN AP,83.85118474132088
2,27,06240,06350,AMSTERDAM/SCHIPHOL AP,GILZE RIJEN,84.23426898192729
4,12,06267,06280,STAVOREN AWS,GRONINGEN AP EELDE,84.24303004324928
8,27,06275,06350,DEELEN,GILZE RIJEN,84.34217961294388
0,22,06225,06320,IJMUIDEN WP,LICHTEILAND GOEREE,84.83028294960602
17,23,06308,06330,CADZAND WP,HOEK VAN HOLLAND AWS,85.0723086624305
25,29,06344,06370,ROTTERDAM THE HAGUE AP,EINDHOVEN AP,85.63873195901097
2,7,06240,06273,AMSTERDAM/SCHIPHOL AP,MARKNESSE AWS,85.72872821645691
17,24,06308,06343,CADZAND WP,ROTTERDAM GEULHAVEN,85.95632669915003
22,26,06320,06348,LICHTEILAND GOEREE,CABAUW TOWER AWS,86.20511331939421
20,27,06316,06350,OOSTERSCHELDE 4,GILZE RIJEN,86.31356525618878
21,23,06319,06330,WESTDORPE AWS,HOEK VAN HOLLAND AWS,87.09917208591655
27,32,06350,06391,GILZE RIJEN,ARCEN AWS,87.53785926398716
5,6,06269,06270,LELYSTAD AP,LEEUWARDEN,87.69400268254843
7,13,06273,06283,MARKNESSE AWS,HUPSEL AWS,87.73024624226578
2,22,06240,06320,AMSTERDAM/SCHIPHOL AP,LICHTEILAND GOEREE,87.96418287075139
24,29,06343,06370,ROTTERDAM GEULHAVEN,EINDHOVEN AP,88.34775672622587
5,30,06269,06375,LELYSTAD AP,VOLKEL,88.85447322537445
5,13,06269,06283,LELYSTAD AP,HUPSEL AWS,88.890685762018
3,4,06260,06267,DE BILT AWS,STAVOREN AWS,89.77561392001608
5,25,06269,06344,LELYSTAD AP,ROTTERDAM THE HAGUE AP,90.38908226223384
8,11,06275,06279,DEELEN,HOOGEVEEN AWS,90.66108594254172
21,25,06319,06344,WESTDORPE AWS,ROTTERDAM THE HAGUE AP,91.28707327434252
20,26,06316,06348,OOSTERSCHELDE 4,CABAUW TOWER AWS,91.57514796835868
19,26,06312,06348,OOSTERSCHELDE WP,CABAUW TOWER AWS,92.326286974587
11,14,06279,06285,HOOGEVEEN AWS,HUIBERTGAT WP,92.47310623850946
25,30,06344,06375,ROTTERDAM THE HAGUE AP,VOLKEL,92.8910745678744
6,15,06270,06286,LEEUWARDEN,NIEUW BEERTA AWS,93.11955803889862
27,31,06350,06380,GILZE RIJEN,MAASTRICHT AACHEN AP,93.2348128818561
19,27,06312,06350,OOSTERSCHELDE WP,GILZE RIJEN,93.33026493354974
18,27,06310,06350,VLISSINGEN AWS,GILZE RIJEN,93.72618290113225
0,7,06225,06273,IJMUIDEN WP,MARKNESSE AWS,93.89111005520498
6,10,06270,06278,LEEUWARDEN,HEINO AWS,94.08639026987211
10,30,06278,06375,HEINO AWS,VOLKEL,94.16805252501491
5,16,06269,06290,LELYSTAD AP,TWENTHE AWS,95.89114228561044
22,27,06320,06350,LICHTEILAND GOEREE,GILZE RIJEN,95.90505203530941
1,3,06235,06260,DE KOOY VK,DE BILT AWS,95.93907359645011
2,30,06240,06375,AMSTERDAM/SCHIPHOL AP,VOLKEL,96.46652697198006
3,32,06260,06391,DE BILT AWS,ARCEN AWS,96.75409201675618
12,16,06280,06290,GRONINGEN AP EELDE,TWENTHE AWS,96.79444382151755
17,25,06308,06344,CADZAND WP,ROTTERDAM THE HAGUE AP,97.92360353350504
8,25,06275,06344,DEELEN,ROTTERDAM THE HAGUE AP,98.11516702859919
16,32,06290,06391,TWENTHE AWS,ARCEN AWS,98.57362935932842
4,8,06267,06275,STAVOREN AWS,DEELEN,99.30857479161479
24,30,06343,06375,ROTTERDAM GEULHAVEN,VOLKEL,99.36755813440561
10,28,06278,06356,HEINO AWS,HERWIJNEN AWS,99.41964537441388
0,19,06225,06312,IJMUIDEN WP,OOSTERSCHELDE WP,100.2092774121536
0,8,06225,06275,IJMUIDEN WP,DEELEN,100.45018218859154
2,10,06240,06278,AMSTERDAM/SCHIPHOL AP,HEINO AWS,100.57878188901049
2,19,06240,06312,AMSTERDAM/SCHIPHOL AP,OOSTERSCHELDE WP,100.63865991903482
7,15,06273,06286,MARKNESSE AWS,NIEUW BEERTA AWS,100.71941609534605
3,13,06260,06283,DE BILT AWS,HUPSEL AWS,100.98235131795508
4,14,06267,06285,STAVOREN AWS,HUIBERTGAT WP,101.15894777249972
22,28,06320,06356,LICHTEILAND GOEREE,HERWIJNEN AWS,101.5210103517786
26,32,06348,06391,CABAUW TOWER AWS,ARCEN AWS,102.01433134034514
5,24,06269,06343,LELYSTAD AP,ROTTERDAM GEULHAVEN,102.35081637578051
20,28,06316,06356,OOSTERSCHELDE 4,HERWIJNEN AWS,102.39170138398491
7,14,06273,06285,MARKNESSE AWS,HUIBERTGAT WP,102.77385499168972
0,27,06225,06350,IJMUIDEN WP,GILZE RIJEN,103.10293463657531
10,15,06278,06286,HEINO AWS,NIEUW BEERTA AWS,103.54391328099824
15,16,06286,06290,NIEUW BEERTA AWS,TWENTHE AWS,103.91072291811669
