station_i,station_j,distance_km
6319,6375,136.70868547040317
6319,6380,137.48819982592005
6319,6391,164.92237791018735
6320,6330,31.79164713431661
6320,6343,44.23486723951322
6320,6344,53.39303727443628
6320,6348,86.2051133193942
6320,6350,95.90505203530941
6320,6356,101.52101035177863
6320,6370,129.0218978755549
6320,6375,143.18697981764183
6320,6380,184.16668918549954
6320,6391,180.44186946543144
6330,6343,17.109402673317863
6330,6344,22.53140606251173
6330,6348,55.12543904430616
6330,6350,73.3335710498946
6330,6356,71.73961868077272
6330,6370,105.35569371338306
6330,6375,115.0313663789763
6330,6380,165.81305885885286
6330,6391,153.00895534379436
6343,6344,11.970381205993075
6343,6348,42.92006278462332
6343,6350,56.224236534561534
6343,6356,57.296802702655434
6343,6370,88.34775672622617
6343,6375,99.36755813440578
6343,6380,148.80867049220907
6343,6391,137.03949351670772
6344,6348,32.82436246226163
6344,6350,55.36018507634936
6344,6356,49.25295699669596
6344,6370,85.63873195901121
6344,6375,92.89107456787457
6344,6380,148.5867817852313
6344,6391,131.02422221321183
6348,6350,44.94980540861478
6348,6356,19.496500443473575
6348,6370,65.59666448229652
6348,6375,63.83120811986752
6348,6380,131.73148821437658
6348,6391,102.01433134034501
6350,6356,35.62809713159677
6350,6370,33.14298112525104
6350,6375,54.27267796023597
6350,6380,93.23481288185613
6350,6391,87.53785926398716
6356,6370,48.109214508178646
6356,6375,44.53817209508827
6356,6380,114.23026956751664
6356,6391,82.8073648703466
6370,6375,32.54978547440632
6370,6380,66.21697753329887
6370,6391,56.98351948846195
6375,6380,83.85118474132057
6375,6391,38.2855117722607
6380,6391,72.43576437811697
